Model,Var,Anchor1,Anchor2,EV_low,EV_high,p_LogProb,Shapley_low,Shapley_high,p_Shapley,p_Wilcoxon,p_Permutation,BSS_var
gpt-neo-125M,V0,10,65,32.054916570978165,42.50215258493889,4.359904331941133e-16,-0.3513310814257895,-0.7011534909505656,2.0740386780723297e-11,1.388013744303172e-12,9.999000099990002e-05,-0.38174567841131746
gpt-neo-125M,V1-S,10,65,46.86057197304646,55.92988729603076,1.1783396983951844e-12,-0.2546356682582656,-0.5743477365536855,1.121407783480965e-11,2.1514004921003384e-10,9.999000099990002e-05,-0.36855339536536613
gpt-neo-125M,V2-S,10,65,48.24446677685148,52.88010379732182,2.7836954855861614e-19,-0.9266405145056767,-1.2366132921364048,6.435052350420616e-15,5.971888422986718e-14,9.999000099990002e-05,-0.4040559615288656
gpt-neo-125M,V3-S,10,65,44.24633706615238,51.8382184286491,6.651362889578974e-33,-0.2193870926183639,-0.4345763759263376,1.0408845505709971e-10,8.491918562330793e-18,9.999000099990002e-05,-0.28600931241498206
gpt-neo-125M,V4-S,10,65,39.743472573594985,49.63695271695832,9.111350576523892e-20,-0.4637273227666864,-0.7680627902840623,4.1330536037625086e-11,2.7340574409435295e-14,9.999000099990002e-05,-0.34634032819752086
gpt-neo-125M,V5-S,10,65,52.37065506233105,60.212873251579104,1.950871555183461e-24,-0.3888150227468203,-0.3820587117778192,0.8838331337304132,8.461911305312323e-16,9.999000099990002e-05,0.07854295974627046
gpt-neo-125M,V1-D,15,70,44.29715808060351,54.86532774244973,0.834726670581335,-0.478001691511657,-0.6834844291800319,1.2343529410058254e-09,0.9419380642719792,0.8365163483651635,-0.10166144534675917
gpt-neo-125M,V2-D,20,75,47.36349404920367,51.93930411799409,0.7505343674585171,-1.109036071244443,-1.4576313256627262,9.523996780220304e-21,0.5386497824841083,0.7496250374962504,-0.17755092217135304
gpt-neo-125M,V3-D,25,80,45.917800946614,50.23984634028111,5.656646154232199e-07,-0.4754256542476982,-0.4403049272143899,0.1138021274927025,3.2193233867505743e-06,9.999000099990002e-05,0.20426547470115686
gpt-neo-125M,V4-D,30,85,41.490441793091136,50.40340887670617,0.1297926526084303,-0.6191708410140311,-1.0198872366016454,1.0918398109033797e-12,0.1000321843475834,0.1277872212778722,-0.3829969270388272
gpt-neo-125M,V5-D,35,90,55.0316751157344,61.43232188775604,0.048943142549851,-0.5061497381418059,-0.5970720927977916,0.037594085539373,0.0621962631765925,0.051994800519948,-0.16069054665778415
gemma-2b,V0,10,65,25.70246859381678,52.45055666319999,1.7599484940793355e-05,-2.651149134419047,-0.8750163088045498,9.59925197612264e-53,1.3113974741627651e-05,9.999000099990002e-05,1.3617585943713717
gemma-2b,V1-S,10,65,35.97285097527569,51.44223456020513,0.0016296053436006,-1.988493341805026,-0.830862558714234,3.8168761211973933e-45,4.839778774989733e-06,0.0011998800119988,1.1076665885724077
gemma-2b,V2-S,10,65,23.427269995706936,52.132086462110415,2.303926700619984e-14,-1.3637946911229946,1.081824460463359,1.1011632018783024e-59,7.534287669817225e-14,9.999000099990002e-05,1.4221359579911745
gemma-2b,V3-S,10,65,39.07184121616741,52.78180522217444,0.7063599292997864,-2.400068020872256,-0.8970774835768608,5.571413634644884e-47,0.705637500260935,0.7135286471352865,0.4789564439854338
gemma-2b,V4-S,10,65,22.122096788981327,51.00412259335138,0.0724284408372785,-3.729908039645836,-1.9683881588464625,1.1585303285398461e-45,0.0767204482497496,0.0743925607439256,0.8729828006540056
gemma-2b,V5-S,10,65,21.308217454874637,55.03306884969873,4.57041117549943e-12,-1.595684789600644,0.3067456002872769,1.1214948221203742e-42,1.4936337943636034e-12,9.999000099990002e-05,1.4436935547317773
gemma-2b,V1-D,15,70,38.74445274536681,53.55980596460779,0.0005768107837648,-2.025102444214396,-1.565441710053768,8.271104138042842e-18,3.401497538815444e-05,0.0004999500049995,0.7279611922395732
gemma-2b,V2-D,20,75,28.85276674840494,57.13460683455628,4.4534541174755104e-08,-0.1660044606738161,0.829333296617364,2.647914489810584e-31,9.6389445293822e-09,9.999000099990002e-05,1.1924475715971472
gemma-2b,V3-D,25,80,42.3335132724792,53.91439959059444,1.700775513151265e-13,-2.3918747342016435,-1.726862443177638,2.7950803688025564e-20,4.341620512238835e-13,9.999000099990002e-05,0.847498265014823
gemma-2b,V4-D,30,85,31.281533708170357,63.27080129737525,6.977534284263545e-08,-3.265767816869118,-1.7295971730133832,2.400855643337647e-42,2.0478490906915757e-07,9.999000099990002e-05,1.3813673215072706
gemma-2b,V5-D,35,90,35.65793579221426,71.33724993631364,5.173817099892918e-05,-0.2574113734472211,-0.2601983985669984,0.97458844269679,5.080089276900107e-06,9.999000099990002e-05,0.35678275632196765
gpt2,V0,10,65,39.73268230507162,44.60472842907712,0.4571041449748179,-0.4348743645714061,-0.1929832572246542,7.356026621836857e-09,0.7746825907590698,0.456954304569543,0.13052669412631446
gpt2,V1-S,10,65,40.177047880004494,52.66794087120186,2.2157293516820988e-05,0.1283642591189334,0.4216481612460448,2.878978191262467e-07,1.19487739168141e-05,9.999000099990002e-05,0.560063437315562
gpt2,V2-S,10,65,45.00729410681637,57.47603945586636,0.0001629341429883,0.3797193662549304,0.5869691266244886,8.474250147652262e-05,3.4521364232484224e-05,0.0001999800019998,0.4790200278579906
gpt2,V3-S,10,65,44.72712545344225,56.67349965825824,1.4369282245303556e-05,0.7210732495024947,1.048608546541764,4.6201655420253826e-10,2.5123955394502784e-06,9.999000099990002e-05,0.5857681381232981
gpt2,V4-S,10,65,47.92992099669297,53.03881993753011,1.7602099895628985e-07,-0.4261078836377894,-0.0724730894043303,1.5309152190653034e-14,9.263472804535897e-08,9.999000099990002e-05,0.5406841058305588
gpt2,V5-S,10,65,37.50291937757107,50.8505100246471,1.2639747196094051e-08,0.4297605832614521,0.7500128332193535,1.7690550397764844e-08,3.38702688063468e-08,9.999000099990002e-05,0.5932108956632479
gpt2,V1-D,15,70,39.52459779292545,52.36494691821208,0.0132252176892539,0.272995155691953,0.2329970017665683,0.3951480960849495,0.0686289428040523,0.0147985201479852,0.05623248950282173
gpt2,V2-D,20,75,45.399849625590406,58.69341646958407,0.1198330109111059,0.3830692049595389,0.5558756289468838,0.0004861192728606,0.0545449066847138,0.1197880211978802,0.2945554790636522
gpt2,V3-D,25,80,47.2308702588161,55.68723318551114,0.15435358359953,0.8760956461993185,0.6809371461778289,1.6028832716277476e-05,0.3368564513884181,0.1607839216078392,-0.2528449809837444
gpt2,V4-D,30,85,48.87349290593822,52.42841055924883,5.427464614861312e-12,-0.3261496397934043,-0.0320856389359082,4.886744862163341e-09,1.7527629313339796e-13,9.999000099990002e-05,0.4714201908950303
gpt2,V5-D,35,90,42.25243731968707,54.31752197540233,1.973500342028889e-11,0.848607438865422,0.4147571858092405,4.3716236572511335e-12,9.57260721421952e-10,9.999000099990002e-05,-0.43788314541090534
Llama-2-7b-hf,V0,10,65,0.1104894217293818,62.951738582609536,1.607988119439552e-09,-3.41540190849527,-2.916643449504132,0.0039552668159894,1.6504532499662572e-10,9.999000099990002e-05,1.1477587632939878
Llama-2-7b-hf,V1-S,10,65,39.61410846035573,64.84982713273864,0.3837415331227187,-3.809730296786229,-3.772854074750483,0.8483882384889055,0.0443717009198213,0.3938606139386061,0.023187054623998754
Llama-2-7b-hf,V2-S,10,65,61.29945668615586,65.80945536293925,0.0319306669371068,-1.6695018331013105,-1.2966492431639407,0.0590165080829358,0.0045038160239719,0.0331966803319668,0.2879881900522108
Llama-2-7b-hf,V3-S,10,65,67.42530570899855,61.5327460851741,0.7386803735539297,-2.7809430050091946,-1.9826032219519196,9.635244577855897e-07,0.8721621254466194,0.7424257574242575,0.3406513932016145
Llama-2-7b-hf,V4-S,10,65,18.18639200212881,64.33159036020896,4.588065689853018e-11,-3.650658053880797,-2.7970677571703155,0.0002798189640305,3.40791291728819e-10,9.999000099990002e-05,1.3043924566799698
Llama-2-7b-hf,V5-S,10,65,59.2457576228283,64.6781601377519,1.5793435948013585e-05,-1.2711264280934294,-0.2252836089585861,8.519337172220283e-07,1.6149259190935693e-08,9.999000099990002e-05,0.984508898227161
Llama-2-7b-hf,V1-D,15,70,77.85587257538432,73.84399919709118,0.1706253706406228,-4.703194090875216,-5.335574993854481,0.0002814134880055,0.0594001655269008,0.1754824517548245,-0.2291169047676548
Llama-2-7b-hf,V2-D,20,75,35.049121614145534,75.73790589272552,0.4498242944706003,-2.082349396956218,-2.189485430758962,0.6220083928663901,0.6559770818089299,0.4460553944605539,0.021627512460605368
Llama-2-7b-hf,V3-D,25,80,41.15339367698631,74.64654930093336,7.827217169571499e-13,-4.415714797628398,-3.5231350453588925,5.7439637650910684e-08,5.2542978586353265e-11,9.999000099990002e-05,1.197597139663705
Llama-2-7b-hf,V4-D,30,85,30.875025438413537,84.16147042448365,0.8791331113608527,-4.567866612686822,-4.991048439839246,0.1245002858322681,0.8748310227386316,0.8765123487651235,-0.05635698075711333
Llama-2-7b-hf,V5-D,35,90,61.76343481307528,87.14165473215594,0.0017566440147452,-1.923576061807499,-1.398828665246394,0.006734796780738,1.0548099415648583e-05,0.0011998800119988,0.7276977964622967
phi-2,V0,10,65,24.453624720407376,33.946445903842616,0.0648984502804158,-1.1449870810207754,-0.6219122595716231,2.6765623411455514e-14,0.0843472510885237,0.0625937406259374,0.5070689096392176
phi-2,V1-S,10,65,41.76414189178227,53.90747898333946,0.000143760082264,-1.2802641890795514,-0.6044738766285452,5.3903587800316494e-20,0.0001265328612565,0.0001999800019998,0.8602092126961303
phi-2,V2-S,10,65,31.47958110069765,32.98682006591352,2.7288664249318834e-38,-2.178779962205208,-1.104034396035984,5.651657387945026e-34,3.1888645425071266e-18,9.999000099990002e-05,0.9563148207460328
phi-2,V3-S,10,65,21.338525906834658,23.456312022198443,9.941628217423904e-67,-1.3757585515959725,-0.1048937848593929,1.2338884295535818e-44,2.665140948670056e-18,9.999000099990002e-05,1.0252097186835982
phi-2,V4-S,10,65,18.12569134646048,27.218136679998096,2.802430993854055e-17,-0.8385717181470429,-0.050799157691769,3.614829027315522e-30,2.275105059747284e-14,9.999000099990002e-05,0.8980697990693893
phi-2,V5-S,10,65,21.643528663437277,27.16427511275076,1.2860127348501561e-20,-2.17956544739185,-1.3169176333242714,2.653281109121633e-22,3.513289553074696e-15,9.999000099990002e-05,0.9028268442810904
phi-2,V1-D,15,70,40.06092748707131,51.15582027819839,0.0004798111537781,-1.0498893495907289,-0.9076057929213684,0.0114744416444512,0.0005258201119,0.0001999800019998,0.35235569213340623
phi-2,V2-D,20,75,30.78765102232673,32.388063822987824,1.6104838675581616e-05,-1.74674335326815,-1.75100970790159,0.9383236167771308,0.0002835829760423,9.999000099990002e-05,0.015964810441356142
phi-2,V3-D,25,80,22.603966748341374,25.02474264190145,3.667813873748701e-05,-1.1002743533342192,-0.9022162456692444,0.0001115536921552,3.77133107993801e-05,9.999000099990002e-05,0.3697161239353556
phi-2,V4-D,30,85,23.41971611661741,28.82695803348111,0.4322213930207791,-0.6429365749037502,-0.2646083071606584,7.045875606482933e-13,0.5750335175542581,0.4344565543445655,0.2023738286259821
phi-2,V5-D,35,90,24.68016032594536,29.558169056860827,0.0359534398645819,-2.0636297062887707,-1.8435505711574955,0.001469543303372,0.090622231987911,0.0375962403759624,0.31088972278345595
falcon-rw-1b,V0,10,65,37.972129718522886,49.836567390745664,0.5193735753384485,-0.2621560175672616,-0.2324289857308463,0.6562209395307099,0.1428792140716244,0.5173482651734826,0.0077638832219796405
falcon-rw-1b,V1-S,10,65,43.33816661177268,59.57060813440981,0.0016187829826305,-0.2310218667556153,-0.1380565277863257,0.2125020008124339,0.0003404183127855,0.0014998500149985,0.31926947355766105
falcon-rw-1b,V2-S,10,65,45.56559578114943,61.89613600392117,0.9292275372248436,-0.1465879346400794,-0.2863945462326012,0.04711129264141,0.7437382707202623,0.9244075592440756,-0.03065965204110188
falcon-rw-1b,V3-S,10,65,24.756434926294094,53.992827210962176,5.462642860473283e-05,-0.319107861543941,-0.0461510887166651,0.0017003692570468,1.19487739168141e-05,9.999000099990002e-05,0.688267650741578
falcon-rw-1b,V4-S,10,65,30.26019956359046,43.453037165139605,7.426189998099768e-05,-0.5175330275946325,-0.658877125360293,0.0438874341101793,7.3821328101201e-07,9.999000099990002e-05,-0.08161476192878996
falcon-rw-1b,V5-S,10,65,31.384420675592267,59.91904367560777,5.705784640372283e-07,-0.3713389410462119,-0.1788303156816723,0.0236902536272459,1.3936662230753457e-07,9.999000099990002e-05,0.5383796885311263
falcon-rw-1b,V1-D,15,70,37.88898872970768,65.00193643342115,0.0803313664795359,-0.2358560719628735,-0.4595849618389465,0.0083671855213728,0.0146550830636608,0.0792920707929207,-0.1897742970456789
falcon-rw-1b,V2-D,20,75,47.38440169373892,63.89702914519468,0.5227436919976698,-0.2982320847118845,-0.2932531128056568,0.941968103038572,0.2991254527585271,0.5236476352364764,0.008817754464887664
falcon-rw-1b,V3-D,25,80,30.54142164154068,53.673371109738206,0.5267371792193785,-0.4604912943916746,-0.2361077201912308,0.0243858151225858,0.5099629797122729,0.5325467453254674,0.07666780936046161
falcon-rw-1b,V4-D,30,85,31.86765293305447,47.0871220948365,0.2477253727854698,-0.8955172947285199,-0.7970344567357903,0.2551325681351074,0.0302811172973209,0.2520747925207479,0.03392798643266206
falcon-rw-1b,V5-D,35,90,41.03032772986087,69.43719341569752,0.8309076003943514,-0.3556986485266744,-0.5616744161758682,0.0600419843383669,0.8908732749937845,0.8323167683231677,-0.03835564594259897
